filename,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
Berkeley_11032020_MayorBerkeleyRCV.csv,77160.0,56907.0,65788.0,5.5,17.0,619.0,14654.0,63018.0,160156.0,104716.0,62190.0,254.0,2219.0,31581.0,12021.0,563.0,121385.0,26086.0,14120.0,121385.0,121385.0,45788.0
Berkeley_11062012_Mayor.csv,71341.0,50081.382000000005,61109.0,8.3,98.0,870.0,12564.0,64553.0,101774.0,65283.0,56064.0,165.0,1878.0,26953.0,11669.0,526.0,115688.0,24070.0,14167.0,115688.0,115688.0,45569.0
Berkeley_11062018_CityAuditor.csv,78378.0,57332.0,67394.0,5.2,34.0,617.0,13416.0,65772.0,136100.0,91259.0,63884.0,207.0,2482.0,31274.0,12929.0,927.0,123065.0,26148.0,14764.0,123065.0,123065.0,45884.0
Berkeley_11082016_Mayor.csv,75035.0,54772.0,66574.0,5.5,33.0,853.0,13772.0,65056.0,124789.0,80912.0,62909.0,143.0,2241.0,29569.0,12595.0,979.0,120926.0,24889.0,14462.0,120926.0,120926.0,44978.0
Burlington_03032009_Mayor.csv,23632.0,10303.552,24565.0,8.1,41.0,340.0,955.0,37305.0,58632.0,41024.0,22568.0,182.0,588.0,1740.0,1796.0,19.0,42192.0,3549.0,1662.0,42192.0,42192.0,16773.0
Burlington_03072006_Mayor.csv,20798.0,,22805.0,,34.0,432.0,693.0,35250.0,55951.0,38598.0,21129.0,167.0,327.0,1136.0,1221.0,9.0,38630.0,3133.0,1571.0,38630.0,38630.0,15156.0
Corvallis_11082022_Mayor.csv,32289.0,19502.0,32304.0,8.0,30.0,368.0,5219.0,44665.0,86174.0,61610.0,29720.0,462.0,1418.0,7436.0,1678.0,453.0,60050.0,7838.0,5409.0,60050.0,60050.0,24125.0
Easthampton_11022021_Mayor.csv,12526.0,4930.0,8548.0,5.4,0.0,48.0,1277.0,13895.0,88267.0,67329.0,8089.0,97.0,86.0,436.0,760.0,0.0,16136.0,1207.0,308.0,16136.0,16136.0,7935.0
Eastpointe_11052019_CityCouncil.csv,23231.0,3531.0,16802.0,11.2,0.0,347.0,570.0,14459.0,62346.0,52269.0,14926.0,23.0,373.0,276.0,18240.0,5.0,34148.0,1078.0,373.0,34148.0,34148.0,13373.0
ElkRidge_11022021_Mayor.csv,2529.0,937.0,1989.0,4.8,0.0,84.0,201.0,4232.0,141985.0,126131.0,1893.0,4.0,31.0,87.0,25.0,105.0,4658.0,68.0,28.0,4658.0,4658.0,1229.0
LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,67763.0,24690.0,50538.0,7.5,238.0,1222.0,67921.0,34731.0,64425.0,47722.0,46744.0,1002.0,3588.0,2490.0,3839.0,216.0,109934.0,12109.0,6689.0,109934.0,109934.0,43995.0
Minneapolis_11022021_Mayor.csv,287404.0,153769.0,259198.0,5.8,368.0,5188.0,42067.0,256323.0,108980.0,76332.0,244212.0,1193.0,13186.0,28721.0,92053.0,675.0,426877.0,61781.0,28106.0,426877.0,426877.0,185674.0
Minneapolis_11022021_ParkBoardAtLarge.csv,287404.0,153769.0,259198.0,5.8,368.0,5188.0,42067.0,256323.0,108980.0,76332.0,244212.0,1193.0,13186.0,28721.0,92053.0,675.0,426877.0,61781.0,28106.0,426877.0,426877.0,185674.0
