filename,year,DP02_0001E,DP05_0068E,DP05_0069E,DP05_0062E,DP03_0034E,DP05_0033E,DP03_0062E,DP05_0073E,DP02_0037E,DP02_0059E,DP05_0071E,DP05_0065E,DP05_0072E,DP03_0064E,DP05_0063E,DP02_0067PE,DP02_0093E,DP02_0068E,DP03_0008E,DP02_0095E,DP03_0063E,DP02_0067E,DP02_0036E,DP03_0033E,DP05_0067E,DP02_0094E,DP05_0060E,DP05_0079E,DP03_0032E,DP05_0077E,DP05_0066E,DP05_0061E,DP03_0006E,DP05_0028E,DP05_0070E,DP02_0097E,DP02_0096E,DP02_0058E,DP03_0009PE,DP05_0001E
Oakland_11062012_CityCouncilAtLarge.csv,2012,155918,,,76109,,,52962,,,,,402339,106736,,4071,38.6,108985,,216557,60414,80758,,5621,857,,,116598,,191072,,104122,9016,242,402339,,,,281250,11.8,402339
Oakland_11062018_CityAuditor.csv,2018,160095,4817,,,,422575,80143,,5366,309242,113901,110160,,,,,,142451,239639,111966,116585,,,988,79293,,,,225325,120547,10103,,180,,422575,57789,,,6.0,422575
Oakland_11062018_Mayor.csv,2018,160095,4817,,,,422575,80143,,5366,309242,113901,110160,,,,,,142451,239639,111966,116585,,,988,79293,,,,225325,120547,10103,,180,,422575,57789,,,6.0,422575
Oakland_11082016_CouncilAtLrg.csv,2016,161483,5342,,,,421042,68442,,,,113134,113352,,,,,116179,,236412,62172,101853,129751,5590,1106,78302,,,,220792,118713,9522,,117,,421042,,,305097,6.6,421042
Oakland_11082022_Mayor.csv,2022,170282,12005,84571,,,437825,94389,116550,5701,322918,,,437825,,,,,156333,247759,115087,139468,,,965,110157,,,126780,233396,,,,342,,4273,58022,,,5.8,437825
Payson_11052019_CityCouncil.csv,2019,5852,345,,,,21093,75682,,318,10981,2753,269,,,,,,2712,10620,1196,88434,,,125,302,,,,10170,17220,350,,17,,21093,730,,,4.2,21093
Portland_06082021_charter_commission_at_large.csv,2021,283896,17509,72055,,,646101,85876,66368,5751,487190,,,646101,,,,,256001,389536,81652,117687,,,2082,51313,,,441135,367733,,,,186,,6938,34439,,,5.6,646101
Portland_06142022_SchoolboardAL.csv,2022,283896,17509,72055,,,646101,85876,66368,5751,487190,,,646101,,,,,256001,389536,81652,117687,,,2082,51313,,,441135,367733,,,,186,,6938,34439,,,5.6,646101
Portland_06142022_SchoolboardAL-1.csv,2022,283896,17509,72055,,,646101,85876,66368,5751,487190,,,646101,,,,,256001,389536,81652,117687,,,2082,51313,,,441135,367733,,,,186,,6938,34439,,,5.6,646101
SanFrancisco_11052019_DistrictAttorney.csv,2019,361222,6942,,,,865933,126187,,8238,688969,133241,58264,,,,,,410052,540475,295398,178742,,,872,333357,,,,511902,339050,12302,,286,,865933,110408,,,5.3,865933
