geocode,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
27_053_102600,2017,1383.0,571.0,1358.0,4.9,0.0,45.0,258.0,1225.0,74915.0,72188.0,1291.0,0.0,153.0,97.0,275.0,10.0,1979.0,277.0,92.0,1979.0,1979.0,755.0
27_053_101800,2017,2767.0,927.0,2507.0,2.5,0.0,23.0,823.0,2043.0,63910.0,55032.0,2445.0,0.0,195.0,118.0,750.0,0.0,3854.0,839.0,544.0,3854.0,3854.0,1545.0
27_003_051400,2017,3641.0,912.0,3021.0,5.7,0.0,95.0,556.0,2909.0,68462.0,57305.0,2850.0,0.0,119.0,402.0,1309.0,7.0,5135.0,1231.0,374.0,5135.0,5135.0,2093.0
27_003_051501,2017,1911.0,374.0,1442.0,4.1,0.0,29.0,219.0,1679.0,58450.0,44263.0,1383.0,0.0,47.0,8.0,665.0,9.0,2751.0,518.0,269.0,2751.0,2751.0,1201.0
27_003_051502,2017,2547.0,858.0,1859.0,3.3,0.0,20.0,339.0,2172.0,80284.0,68295.0,1797.0,0.0,103.0,217.0,574.0,1.0,3384.0,429.0,212.0,3384.0,3384.0,1347.0
36_047_000700,2021,3060.0,2561.0,2447.0,1.8,0.0,76.0,242.0,3060.0,258894.0,180515.0,2402.0,0.0,55.0,542.0,310.0,15.0,4194.0,573.0,319.0,4194.0,4194.0,1865.0
36_047_002100,2021,4350.0,4066.0,3972.0,1.7,0.0,177.0,308.0,4265.0,378342.0,250001.0,3906.0,0.0,0.0,1165.0,206.0,0.0,5938.0,1514.0,842.0,5938.0,5938.0,2312.0
36_061_001501,2021,5723.0,3282.0,4107.0,5.6,0.0,31.0,329.0,4050.0,188100.0,119293.0,3876.0,0.0,0.0,2319.0,675.0,25.0,7721.0,2196.0,675.0,7721.0,7721.0,3318.0
36_061_001600,2021,6642.0,2881.0,4214.0,10.8,0.0,111.0,74.0,1845.0,128161.0,46860.0,3759.0,0.0,24.0,5589.0,188.0,0.0,7720.0,4280.0,1509.0,7720.0,7720.0,3523.0
36_061_001800,2021,5724.0,2714.0,3984.0,2.4,0.0,53.0,1057.0,2137.0,91558.0,74485.0,3890.0,0.0,42.0,3205.0,646.0,1.0,6948.0,3278.0,1405.0,6948.0,6948.0,3075.0
36_061_002201,2021,4812.0,1707.0,3104.0,7.9,0.0,63.0,2478.0,1967.0,68833.0,35700.0,2860.0,0.0,43.0,880.0,1551.0,0.0,6748.0,1655.0,558.0,6748.0,6748.0,3022.0
36_061_002700,2021,1068.0,606.0,497.0,8.9,0.0,0.0,12.0,247.0,123250.0,134583.0,453.0,0.0,29.0,917.0,37.0,11.0,1203.0,506.0,161.0,1203.0,1203.0,616.0
36_061_003001,2021,3001.0,2132.0,3004.0,0.2,0.0,15.0,954.0,2144.0,154303.0,90222.0,2998.0,0.0,52.0,348.0,398.0,6.0,3868.0,531.0,335.0,3868.0,3868.0,2248.0
