,TRACTCE20,BLOCKCE20,GEOID20,sup_dist,geometry,percent
5264,980300,1006,60759803001006,7,"MULTIPOLYGON (((-122.468392 37.772477, -122.468868 37.772384, -122.469211 37.77225, -122.46936225375865 37.77215890398627, -122.46921100023378 37.77225000008274, -122.4688680001021 37.7723840003268, -122.46839199990102 37.77247700003019, -122.46837891905007 37.772479009165515, -122.468392 37.772477)), ((-122.470414 37.771437, -122.471013 37.771059, -122.47163 37.770778, -122.471838 37.770708, -122.472097 37.770704, -122.472405 37.770734, -122.472769 37.77084, -122.473655 37.771156, -122.47395084417522 37.771263246378005, -122.47365500008024 37.77115600017584, -122.47276899980038 37.77084000013147, -122.47240499975231 37.77073400018258, -122.47209699978067 37.770704000316854, -122.47183800021293 37.77070800025225, -122.47162999980051 37.770778000153065, -122.47101300003244 37.77105900031482, -122.47041399980772 37.77143700032145, -122.4699389909209 37.7717678369944, -122.470414 37.771437)), ((-122.475196 37.771686, -122.475553 37.771711, -122.476016 37.771687, -122.47659149488645 37.77158355495784, -122.4760159999207 37.77168700013952, -122.47555300013843 37.77171100014008, -122.47519599976303 37.77168600034643, -122.47507699269437 37.771656486188206, -122.475196 37.771686)), ((-122.477467 37.771396, -122.47793 37.771245, -122.478865 37.770854, -122.47896645583918 37.77081789471915, -122.47886499965777 37.77085400023391, -122.47792999987237 37.77124500009745, -122.47746700009007 37.771396000134246, -122.47709836375867 37.7714817143708, -122.477467 37.771396)))",0.0
6444,31302,2008,60750313022008,7,"MULTIPOLYGON (((-122.467074 37.712479, -122.46711968587223 37.71247822566318, -122.46707400000204 37.7124790001841, -122.467074 37.712479)), ((-122.468018 37.712455, -122.4682296333777 37.71247725117289, -122.46801799980717 37.712455000161555, -122.46773075688466 37.712462650543024, -122.468018 37.712455)), ((-122.469306 37.712647, -122.469993 37.712781, -122.470331 37.712812, -122.470895 37.712806, -122.47096534309243 37.712805475051546, -122.47089500003167 37.7128060001227, -122.47033099996702 37.71281200010158, -122.46999299985823 37.71278100032427, -122.46930599976996 37.71264700015197, -122.46886795307049 37.71256228337684, -122.469306 37.712647)), ((-122.471472 37.713427, -122.47158648543555 37.71381043534765, -122.47147199961677 37.713426999971546, -122.4714119112367 37.71310601301653, -122.471472 37.713427)), ((-122.471639 37.713986, -122.47168882762807 37.71415416824473, -122.47163900002136 37.713986000346246, -122.47161089575206 37.71389209068372, -122.471639 37.713986)))",0.0
1656,12503,1000,60750125031000,6,"POLYGON ((-122.408104 37.78402, -122.40810400002867 37.78402000002257, -122.4080103258726 37.78410377594242, -122.408104 37.78402))",0.0
5323,13001,1004,60750130011004,3,"POLYGON ((-122.423944 37.797845, -122.42392049686381 37.79772905119482, -122.42394400014156 37.79784499977742, -122.42394400018208 37.79784499997704, -122.423944 37.797845))",0.0
1549,31302,3013,60750313023013,11,"MULTIPOLYGON (((-122.46116 37.710584, -122.4611600012712 37.710583999985005, -122.46215806086352 37.7109459634065, -122.46116 37.710584)), ((-122.462347 37.71057, -122.46247176030936 37.710568251023695, -122.46234700009728 37.71057000025041, -122.46182452023113 37.71057616235616, -122.462347 37.71057)), ((-122.463475 37.710556, -122.464176 37.710548, -122.464372 37.710526, -122.46445076278708 37.71051722642372, -122.46437200037701 37.71052600001075, -122.46417599966013 37.7105480001339, -122.46347500022645 37.710556000112454, -122.46311931448857 37.71056028067902, -122.463475 37.710556)), ((-122.464939 37.710436, -122.465994 37.710154, -122.46610942405408 37.710106504934686, -122.46599400025067 37.71015400030035, -122.46493899991637 37.71043600034382, -122.46482206022777 37.71046727459024, -122.464939 37.710436)), ((-122.46679199994983 37.70982600002061, -122.46679199976869 37.70982600011461, -122.46675872249091 37.709839672592864, -122.46679199994983 37.70982600002061)), ((-122.46721 37.709604, -122.467718 37.709282, -122.46796402471008 37.70908765171304, -122.46771800023154 37.70928199993383, -122.4672100002434 37.709604000157306, -122.46718514579455 37.7096195338784, -122.46721 37.709604)), ((-122.468939 37.708232, -122.46893900052079 37.708232, -122.46893900024716 37.70823200023837, -122.46853793442364 37.70862271549698, -122.468939 37.708232)))",0.0
1520,10201,1004,60750102011004,2,"MULTIPOLYGON (((-122.423088 37.80249, -122.42308799995324 37.802489999765626, -122.4230879999989 37.80248999975985, -122.42427682116644 37.80233883360248, -122.423088 37.80249)), ((-122.424634 37.801357, -122.42465332214124 37.80139621258077, -122.42463399978372 37.80135700001748, -122.424634 37.801357)), ((-122.424798 37.802091, -122.42480532344746 37.8021271864463, -122.4247979997361 37.80209099977183, -122.42470635258124 37.80162218820404, -122.424798 37.802091)))",0.0
4974,25900,2014,60750259002014,9,"MULTIPOLYGON (((-122.406956 37.719898, -122.40695599993636 37.719897999851106, -122.4069560002278 37.719897999780876, -122.40708554039033 37.71985938362348, -122.406956 37.719898)), ((-122.4081426696398 37.71955473797633, -122.40892099992817 37.719366999825546, -122.408921 37.719367, -122.4081426696398 37.71955473797633)))",0.0
255,17700,1016,60750177001016,10,"POLYGON ((-122.406553 37.765842, -122.40685534306779 37.765823816268096, -122.40655300000878 37.76584200009204, -122.406553 37.765842))",0.0
2020,60702,1017,60750607021017,10,"POLYGON ((-122.400755 37.76619, -122.40148727812488 37.766146791042324, -122.40075500002057 37.766190000218835, -122.400755 37.76619))",0.0
2925,980300,1036,60759803001036,5,"MULTIPOLYGON (((-122.458637 37.7672, -122.45872590954762 37.767160274457446, -122.45863700019467 37.76720000001205, -122.45863700002525 37.767200000013894, -122.458637 37.7672)), ((-122.459093 37.766953, -122.45944967516421 37.76667638148761, -122.45909300030421 37.766953000218, -122.4589115252282 37.767069603699525, -122.459093 37.766953)), ((-122.459801 37.766404, -122.45985590967521 37.76637199742856, -122.45980100030889 37.76640399994623, -122.45973175351689 37.766457666024415, -122.459801 37.766404)))",0.0
2608,30102,4003,60750301024003,8,"MULTIPOLYGON (((-122.455462 37.7636, -122.455465 37.763062, -122.45546347721594 37.76264551856001, -122.45546500041742 37.763062000170464, -122.4554620000443 37.763600000049024, -122.4554622546945 37.763624705366354, -122.455462 37.7636)), ((-122.455467 37.762285, -122.45549336215123 37.761977628534545, -122.4554670000672 37.76228500021439, -122.45546559722318 37.76236565966657, -122.455467 37.762285)), ((-122.455552 37.764136, -122.4555519999324 37.76413599966655, -122.45568836544469 37.76409669816878, -122.455552 37.764136)), ((-122.45564099997563 37.760295000272365, -122.45564100014448 37.76029500016609, -122.45560735328856 37.76067100200034, -122.45564099997563 37.760295000272365)))",0.0
4473,30700,1000,60750307001000,8,"MULTIPOLYGON (((-122.445987 37.74118, -122.44598700001382 37.74117999998865, -122.44599375398492 37.741188911507884, -122.445987 37.74118)), ((-122.446195 37.741872, -122.44617917291266 37.74173163872545, -122.44619500023458 37.741872000142116, -122.44621327549577 37.74193056465689, -122.446195 37.741872)), ((-122.446324 37.742185, -122.446257 37.742072, -122.44625046101012 37.74205056664427, -122.44625700015888 37.742072000019384, -122.44632400010603 37.74218499976445, -122.44636944829473 37.742236250204705, -122.446324 37.742185)), ((-122.446411 37.742282, -122.4463723478527 37.74223948263797, -122.44641100014468 37.74228199984182, -122.44644894264515 37.742309824606444, -122.446411 37.742282)), ((-122.44711 37.74258, -122.44684 37.742519, -122.44683999980542 37.742518999917685, -122.44710999992854 37.74257999990661, -122.44717007026667 37.74258633468266, -122.44711 37.74258)), ((-122.449357 37.742922, -122.449137 37.742829, -122.448821 37.742749, -122.448489 37.742705, -122.44791646183928 37.74265521407298, -122.4484890001279 37.742704999674466, -122.44882100038896 37.74274899998001, -122.44913699985808 37.74282899975829, -122.44935699996616 37.742921999684874, -122.44955891512764 37.74304976045686, -122.449357 37.742922)))",0.0
4299,20101,1008,60750201011008,9,"MULTIPOLYGON (((-122.417788 37.769761, -122.41779605169857 37.769749190842106, -122.41778800000975 37.76976100008448, -122.41778799994741 37.76976100008183, -122.417788 37.769761)), ((-122.41780333876012 37.76973561239876, -122.41780300007832 37.7697389997999, -122.41780300001 37.76973899990011, -122.41780333876012 37.76973561239876)))",0.0
